Mean data for UKR  Province= 14: Luhans'k,  from 2000 to 2020, weekly<br><tt><pre>2000, 1, 0.040,259.23, 45.97, 31.34, 38.66,
2000, 2, 0.040,258.13, 48.83, 36.87, 42.85,
2000, 3, 0.039,256.75, 48.01, 43.87, 45.94,
2000, 4, 0.039,256.46, 44.77, 46.94, 45.85,
2000, 5, 0.039,257.52, 40.04, 47.36, 43.70,
2000, 6, 0.039,258.82, 34.48, 48.25, 41.37,
2000, 7, 0.039,260.33, 28.61, 49.22, 38.91,
2000, 8, 0.038,262.38, 25.26, 47.90, 36.58,
2000, 9, 0.041,265.34, 24.44, 43.96, 34.20,
2000,10, 0.045,267.87, 24.13, 43.75, 33.94,
2000,11, 0.052,271.09, 24.78, 42.89, 33.84,
2000,12, 0.059,274.20, 25.78, 42.77, 34.28,
2000,13, 0.072,278.26, 28.43, 38.62, 33.53,
2000,14, 0.092,282.99, 31.87, 30.95, 31.41,
2000,15, 0.117,286.94, 35.44, 26.39, 30.92,
2000,16, 0.153,289.74, 41.59, 27.81, 34.70,
2000,17, 0.194,291.86, 46.93, 33.57, 40.25,
2000,18, 0.230,293.42, 48.85, 43.10, 45.98,
2000,19, 0.259,294.56, 47.72, 53.32, 50.52,
2000,20, 0.289,295.80, 44.73, 58.88, 51.80,
2000,21, 0.312,296.91, 39.58, 61.03, 50.31,
2000,22, 0.333,297.95, 36.40, 56.93, 46.67,
2000,23, 0.346,298.13, 36.16, 60.38, 48.27,
2000,24, 0.362,298.01, 44.50, 68.93, 56.72,
2000,25, 0.376,297.60, 53.79, 77.10, 65.44,
2000,26, 0.386,297.51, 61.50, 81.38, 71.44,
2000,27, 0.387,297.74, 64.82, 79.41, 72.12,
2000,28, 0.381,297.82, 65.31, 79.52, 72.42,
2000,29, 0.378,298.09, 67.31, 79.09, 73.20,
2000,30, 0.375,298.58, 70.86, 76.07, 73.46,
2000,31, 0.359,298.12, 68.85, 79.27, 74.06,
2000,32, 0.341,297.69, 65.44, 81.87, 73.65,
2000,33, 0.325,297.58, 61.75, 79.77, 70.76,
2000,34, 0.302,296.81, 55.39, 80.02, 67.70,
2000,35, 0.279,295.35, 50.76, 82.78, 66.77,
2000,36, 0.257,293.60, 47.28, 82.37, 64.83,
2000,37, 0.238,291.75, 45.97, 79.29, 62.63,
2000,38, 0.225,290.57, 46.97, 71.29, 59.13,
2000,39, 0.211,289.05, 46.33, 64.03, 55.18,
2000,40, 0.191,287.57, 42.26, 52.27, 47.26,
2000,41, 0.167,285.72, 37.38, 42.70, 40.04,
