Mean data for UKR  Province= 5: Dnipropetrovs'k,  from 2000 to 2020, weekly<br><tt><pre>2000, 1, 0.028,257.51, 28.08, 49.96, 39.02,
2000, 2, 0.027,255.96, 29.87, 54.62, 42.24,
2000, 3, 0.028,254.40, 30.93, 60.39, 45.66,
2000, 4, 0.030,253.99, 31.84, 62.93, 47.38,
2000, 5, 0.030,253.33, 29.91, 68.01, 48.96,
2000, 6, 0.030,253.30, 25.52, 71.71, 48.61,
2000, 7, 0.030,254.96, 20.90, 71.75, 46.32,
2000, 8, 0.032,257.12, 19.80, 71.77, 45.79,
2000, 9, 0.035,259.48, 18.63, 72.44, 45.54,
2000,10, 0.040,261.76, 17.10, 74.40, 45.75,
2000,11, 0.048,266.15, 19.04, 70.25, 44.65,
2000,12, 0.061,271.10, 22.63, 64.00, 43.32,
2000,13, 0.079,276.81, 27.33, 53.46, 40.39,
2000,14, 0.102,282.80, 32.67, 39.65, 36.16,
2000,15, 0.132,287.38, 38.07, 31.72, 34.90,
2000,16, 0.172,291.42, 45.04, 25.92, 35.48,
2000,17, 0.217,294.14, 51.89, 26.57, 39.23,
2000,18, 0.255,294.74, 55.69, 39.73, 47.71,
2000,19, 0.283,295.49, 54.56, 51.87, 53.21,
2000,20, 0.308,297.05, 53.39, 52.61, 53.00,
2000,21, 0.328,298.17, 51.84, 53.13, 52.48,
2000,22, 0.344,298.83, 48.50, 53.62, 51.06,
2000,23, 0.354,298.91, 45.44, 55.70, 50.57,
2000,24, 0.369,299.03, 48.46, 57.30, 52.88,
2000,25, 0.381,299.07, 55.87, 60.23, 58.05,
2000,26, 0.385,298.99, 59.15, 63.72, 61.44,
2000,27, 0.381,298.94, 58.27, 64.84, 61.55,
2000,28, 0.374,298.88, 57.04, 64.44, 60.74,
2000,29, 0.366,298.96, 56.57, 64.85, 60.71,
2000,30, 0.355,299.14, 56.23, 65.05, 60.64,
2000,31, 0.335,298.72, 51.70, 68.76, 60.23,
2000,32, 0.311,298.20, 45.34, 71.94, 58.64,
2000,33, 0.289,298.01, 39.84, 71.57, 55.71,
2000,34, 0.262,297.19, 32.37, 75.40, 53.88,
2000,35, 0.236,295.63, 27.01, 82.08, 54.55,
2000,36, 0.213,293.90, 23.64, 84.45, 54.04,
2000,37, 0.197,292.42, 24.62, 82.83, 53.72,
2000,38, 0.190,291.67, 30.03, 73.41, 51.72,
2000,39, 0.182,290.88, 36.02, 58.35, 47.19,
2000,40, 0.173,289.78, 41.89, 43.97, 42.93,
2000,41, 0.159,288.26, 44.82, 31.21, 38.01,
2000,42, 0.139,286.07, 43.16, 25.44, 34.30,
2000,43, 0.118,283.54, 40.16, 25.94, 33.05,
2000,44, 0.093,280.90, 33.45, 23.75, 28.60,
2000,45, 0.073,278.59, 28.22, 21.27, 24.74,
2000,46, 0.059,275.94, 25.32, 22.06, 23.69,
2000,47, 0.050,273.76, 23.89, 20.26, 22.08,
2000,48, 0.046,272.82, 25.37, 13.57, 19.47,
2000,49, 0.044,271.86, 27.80,  9.45, 18.63,
2000,50, 0.040,270.11, 26.54,  9.00, 17.77,
2000,51, 0.036,268.73, 28.25,  9.08, 18.67,
2000,52, 0.038,267.59, 34.88, 10.63, 22.76,
2001, 1, 0.042,265.85, 45.99, 15.69, 30.84,
2001, 2, 0.043,264.04, 49.36, 21.76, 35.56,
2001, 3, 0.047,262.23, 53.28, 29.41, 41.34,
2001, 4, 0.048,261.41, 52.44, 35.28, 43.86,
2001, 5, 0.046,260.22, 46.06, 43.76, 44.91,
2001, 6, 0.048,259.82, 42.72, 50.16, 46.44,
2001, 7, 0.054,260.15, 40.60, 55.03, 47.82,
2001, 8, 0.065,262.78, 43.07, 53.57, 48.32,
2001, 9, 0.082,267.37, 48.42, 46.96, 47.69,
2001,10, 0.107,272.65, 56.53, 39.34, 47.93,
2001,11, 0.138,277.25, 66.46, 32.05, 49.25,
2001,12, 0.164,281.21, 72.25, 27.19, 49.72,
2001,13, 0.191,284.60, 77.59, 24.23, 50.91,
2001,14, 0.217,286.90, 80.31, 24.08, 52.20,
2001,15, 0.240,289.05, 79.68, 24.94, 52.31,
2001,16, 0.268,291.20, 79.25, 27.05, 53.15,
2001,17, 0.303,293.11, 80.90, 32.68, 56.79,
2001,18, 0.337,294.23, 83.05, 43.43, 63.24,
2001,19, 0.365,294.82, 83.38, 57.17, 70.28,
2001,20, 0.385,295.44, 82.80, 66.63, 74.72,
2001,21, 0.394,295.51, 79.85, 77.56, 78.71,
2001,22, 0.399,295.27, 74.82, 86.06, 80.44,
2001,23, 0.397,295.51, 68.55, 87.05, 77.80,
2001,24, 0.398,296.33, 65.45, 83.10, 74.28,
2001,25, 0.400,297.47, 66.45, 75.93, 71.19,
2001,26, 0.400,298.89, 67.49, 64.78, 66.14,
2001,27, 0.397,300.23, 66.73, 52.61, 59.67,
2001,28, 0.386,301.21, 63.68, 42.63, 53.16,
2001,29, 0.370,301.71, 59.06, 38.94, 49.00,
2001,30, 0.357,302.55, 57.69, 32.52, 45.10,
